,image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,deleted,d_hash,img_size,index
3391,https://static.foxnews.com/foxnews.com/content/uploads/2018/11/Babyfeet_istock.jpg,1207152882,1092,"Senate to vote on 'born-alive' bill, which guarantees medical care to infants who survive failed abortions",https://www.foxnews.com/politics/senate-to-vote-on-born-alive-bill-to-protect-infants-who-survive-a-failed-abortion,FOX News,http://www.foxnews.com/,2019-02-25 15:49:45.000000,2,650673,[3690],FALSE,3b3f1e5b635317a6,92666,3b3f1e5b635317a6
3390,https://stream.org/wp-content/uploads/heartbeat.jpg,1334007053,213292,Ohio Outlaws Abortions After Fetal Heartbeat is Detected | The Stream,https://stream.org/ohio-outlaws-abortions-fetal-heartbeat-detected/,stream.org,https://stream.org/,2019-04-12 12:54:21.000000,2,303306,[],FALSE,4836a64152f3e745,99177,4836a64152f3e745
3389,https://www.liveaction.org/news/wp-content/uploads/2019/05/EHD-6-months-1-week.jpg,1296118136,83282,&#8216;Dark day&#8217;: Illinois House passes abortion bill far worse than New York&#8217;s,https://www.liveaction.org/news/illinois-house-passes-abortion-worse-new-york/,Live Action News,http://liveactionnews.org/,2019-05-28 19:09:24,1,282046,[],FALSE,4c5c98d8d8c8c88c,95490,4c5c98d8d8c8c88c
3388,https://cbsnews1.cbsistatic.com/hub/i/r/2019/05/15/1273c667-b76e-4271-8ce4-53dee864a454/thumbnail/1200x630/5a0b7be461cab49a7686aa0f021742a3/2019-05-15t020012z-1738697895-rc1274eff540-rtrmadp-3-usa-abortion-alabama.jpg,1283995119,18957,Alabama Passes Near-Total Abortion Ban With No Exceptions For Rape Or Incest,https://www.cbsnews.com/news/alabama-abortion-law-passed-alabama-passes-near-total-abortion-ban-with-no-exceptions-for-rape-or-incest-2019-05-14/,newyork.cbslocal.com,http://newyork.cbslocal.com,2019-05-15 14:50:24,6,141148,[3686],FALSE,0923269a1b496932,72206,0923269a1b496932
3387,https://static01.nyt.com/images/2019/02/07/science/07ABORTION/07ABORTION-facebookJumbo.jpg,1184916984,1,What Trump Got Wrong About Late-Term Abortions,https://www.nytimes.com/2019/02/06/health/late-term-abortion-trump.html,New York Times,http://nytimes.com,2019-02-06 18:56:17.000000,1,130188,[3687],FALSE,46715a4a9aeac8e0,163193,46715a4a9aeac8e0
3386,http://gothamist.com/assets_c/2019/01/12319RHA-thumb-640xauto-1026970.jpg,1173274829,5810,"Cuomo Signs Historic Abortion Law, Celebrates By Turning One WTC Pink",http://gothamist.com/2019/01/23/reproductive_health_act_ny.php,Gothamist,http://gothamist.com/,2019-01-23 11:34:00.000000,1,113342,[],FALSE,c3dbc5a525a96717,209637,c3dbc5a525a96717
3385,https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,1183342907,1752,New York passes law allowing abortions at any time if mother's health is at risk,https://www.cbsnews.com/news/new-york-passes-abortion-bill-late-term-if-mothers-health-is-at-risk-today-2019-01-23/,cbs news,http://www.cbsnews.com/,2019-01-24 20:30:09.000000,2,110438,[3687],FALSE,f4b4f4cedb9b1bc4,78735,f4b4f4cedb9b1bc4
3384,https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,568292625,1096,U.S. Abortion Rate Falls To Lowest Level Since Roe v. Wade,http://www.npr.org/sections/thetwo-way/2017/01/17/509734620/u-s-abortion-rate-falls-to-lowest-level-since-roe-v-wade?utm_medium=RSS&utm_campaign=news,NPR,http://www.npr.org/,2017-01-17 08:01:22,1,107644,[3689],FALSE,3268555471696928,80055,3268555471696928
3383,https://cdn.cnn.com/cnnnext/dam/assets/130603130022-norma-mccorvey-story-top.jpg,1173366034,1095,New York puts in measures to protect access to abortion even if Roe v. Wade is overturned,http://rss.cnn.com/~r/rss/cnn_latest/~3/nO7KjzQ8X5A/index.html,CNN,http://www.cnn.com/,2019-01-23 14:29:01.000000,28,100994,[3687],FALSE,6969696161605050,47788,6969696161605050
3382,https://cbsnews3.cbsistatic.com/hub/i/r/2016/12/07/2b3c8a1b-db2b-45d1-ba27-89897f29e60d/thumbnail/1200x630/9c201083e8b41e134a9ed65c63e15b68/ohio-heartbeat-bill-2-2016-12-6.png,1281895888,195373,11-year-old rape victim couldn't have abortion under new Ohio law,https://www.cbsnews.com/news/ohio-abortion-heartbeat-bill-pregnant-11-year-old-rape-victim-barred-abortion-after-new-ohio-abortion-bill-2019-05-13/,cbsn.ws,http://cbsn.ws/,2019-05-13 16:40:46.000000,3,95847,[],FALSE,92b9f9d9f1e5b733,630087,92b9f9d9f1e5b733
