parent,,image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,deleted,d_hash,img_size,index
1,586,https://static01.nyt.com/images/2019/05/09/us/09ABORTION-1/09ABORTION-1-facebookJumbo.jpg,1283132514,1,Alabama Lawmakers Vote to Effectively Ban Abortion in the State,https://www.nytimes.com/2019/05/14/us/abortion-law-alabama.html?partner=rss&emc=rss,New York Times,http://nytimes.com,2019-05-14 22:08:48.000000,1,58168,[3687],FALSE,3b595b4955d6b2b9,155924,3b595b4955d6b2b9
1,585,https://media1.s-nbcnews.com/j/newscms/2018_28/2371011/180321-abortion-rights-supreme-court-ew-104p_3b50ee895e4868d6fa18203648687a0a.1200;630;7;70;5.jpg,983221133,25499,NBC/WSJ poll: Support for Roe v. Wade hits new high,https://www.nbcnews.com/politics/first-read/nbc-wsj-poll-support-roe-v-wade-hits-new-high-n893806,NBC News,http://www.nbcnews.com,2018-09-12 06:34:27.525251,3,41854,[3687],FALSE,b387a3bab0b8aa2b,85226,b387a3bab0b8aa2b
1,584,https://d3i6fh83elv35t.cloudfront.net/static/2019/01/RTS2BMUB-1024x683.jpg,1171815468,271188,What does Kamala Harris believe? Where the candidate stands on 9 issues,https://www.pbs.org/newshour/politics/what-does-kamala-harris-believe-where-the-candidate-stands-on-9-issues,PBS NewsHour,http://www.pbs.org/newshour/,2019-01-21 17:55:08.000000,1,22622,[3687],FALSE,a392121359d9d9c9,82774,a392121359d9d9c9
1,583,http://rachelsvineyard.org/images/main_anim_10.gif,260597063,112874,Rachel's Vineyard Ministries,http://rachelsvineyard.org/,rachelsvineyard.org,http://rachelsvineyard.org/,2011-04-25 22:34:30,1,14263,[],FALSE,050510a300010000,120070,050510a300010000
1,582,https://thumbs.mic.com/ZDFiZTQ4YzE0NCMvYWlDblNTd1k5VGxELTYzQWR6cUc0WDFBVWRNPS8weDE3Nzo1MzY0eDI5ODQvMTIwMHg2MzAvZmlsdGVyczpxdWFsaXR5KDcwKS9odHRwOi8vczMuYW1hem9uYXdzLmNvbS9wb2xpY3ltaWMtaW1hZ2VzL2JrbXhqY3BnNnJ6azMxcXd0dGprZ2RpbXJobHRhcHRtaXRrZm9naHJweXh2ejNhdHU2emVpZ2VxeXR4ZWxndnMuanBn.jpg,608842604,109076,Donald Trump gives states green light to withhold funds from Planned Parenthood,http://mic.com/articles/174139/donald-trump-gives-states-green-light-to-withhold-funds-from-planned-parenthood,Mic,http://mic.com/,2017-04-13 13:52:49.000000,1,13795,[3689],FALSE,8bad258d3624ce9d,79546,8bad258d3624ce9d
1,581,https://cdn.cnn.com/cnnnext/dam/assets/190221131034-20190221-abortion-illustrationv5-super-tease.jpg,1224336386,1095,Online abortion pill provider ordered to cease delivery by FDA,http://rss.cnn.com/~r/rss/cnn_latest/~3/Dk9-4b36O2A/index.html,CNN,http://www.cnn.com/,2019-03-15 05:17:16.000000,1,12708,[3687],FALSE,5919191b1d0f173b,267769,5919191b1d0f173b
1,580,https://ichef.bbci.co.uk/news/1024/branded_news/64C3/production/_106959752_tv053935649.jpg,1355585317,1094,Alabama to vote on bill banning abortion,https://www.bbc.com/news/world-us-canada-48275795,BBC,http://www.bbc.co.uk/?ok,2019-08-03 01:42:28.872939,0,12469,[3687],FALSE,c97131e9e0c809b0,65291,c97131e9e0c809b0
1,579,https://theintercept.imgix.net/wp-uploads/sites/1/2019/03/GettyImages-1132797510-Pelosi-1553268370-e1553268603758.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,1230839693,269138,House Democratic Leadership Warns It Will Cut Off Any Firms That Challenge Incumbents,https://theintercept.com/2019/03/22/house-democratic-leadership-warns-it-will-cut-off-any-firms-who-challenge-incumbents/,The Intercept,https://theintercept.com/,2019-03-22 11:35:22.000000,1,10288,[3686],FALSE,6c2071686af2f31b,67648,6c2071686af2f31b
1,578,https://www.liveaction.org/wp-content/uploads/2011/09/favicon.ico,298091660,71843,Live Action - Pro-life advocacy for dignity and human rights - A new media movement for life!,http://liveaction.org/,liveaction.org,http://www.liveaction.org/#spider,2014-07-09 15:16:35,1,10210,[],FALSE,999585a565f69acc,15086,999585a565f69acc
1,577,https://cdn.theatlantic.com/assets/media/img/mt/2019/02/RTS2B8HF/facebook.jpg?1549240692,1183159147,1110,Democrats Overplay Their Hand on Abortion,https://www.theatlantic.com/ideas/archive/2019/02/new-york-and-virginia-push-expand-abortion-rights/581959/?utm_source=feed,The Atlantic,http://www.theatlantic.com/,2019-02-04 16:11:13.000000,1,9399,[3687],FALSE,3774317171b2aa4a,137010,3774317171b2aa4a
1,576,"https://video-images.vice.com/articles/5cd46f18e35aec000778702d/lede/1557497010170-AP_19092825143817.jpeg?crop=1xw:0.6497168989547039xh;center,center",1356402936,26164,Imprisoning Women and Not Covering Birth Control Are Now on the Table in the Abortion Fight,https://news.vice.com/en_us/article/xwnw4n/imprisoning-women-and-not-covering-birth-control-are-now-on-the-table-in-the-abortion-fight,Vice,http://m.vice.com,2019-08-04 06:36:57.126016,0,8041,[3687],FALSE,bea6aeebd6d4d599,1807321,bea6aeebd6d4d599
1,575,https://cdn.vox-cdn.com/thumbor/7EbVXDzpacIV1teH_64ESzRVMnQ=/0x0:4796x2511/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13707921/GettyImages_1085868896_lead.jpg,1173170513,104828,"Kamala Harris’s controversial record on criminal justice, explained",https://www.vox.com/future-perfect/2019/1/23/18184192/kamala-harris-president-campaign-criminal-justice-record,Vox,http://www.vox.com,2019-01-23 09:30:00.000000,1,7761,[3689],FALSE,fcf8f8fabae4fcf0,53261,fcf8f8fabae4fcf0
1,574,https://cdn.cnsnews.com/clinton-mtp-screen_capture.jpg,500946512,20357,Hillary Clinton: ‘The Unborn Person Doesn’t Have Constitutional Rights’,http://cnsnews.com/news/article/cnsnewscom-staff/hillary-clinton-unborn-person-doesnt-have-constitutional-rights,CNS News,http://cnsnews.com,2016-06-21 06:42:02,1,7281,[3690],FALSE,46e6e460e8e8ac9c,53934,46e6e460e8e8ac9c
1,573,https://i.dailymail.co.uk/1s/2019/07/26/21/16551550-0-image-a-62_1564173503188.jpg,1352213940,1747,"Murdered Ole Miss student, 21, was PREGNANT with accused killer's baby",https://www.dailymail.co.uk/news/article-7291005/Murdered-Ole-Miss-student-21-PREGNANT-accused-killers-baby.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Daily Mail,http://www.dailymail.co.uk/home/index.html,2019-07-30 10:47:48,3,7097,[3690],FALSE,2024626a6e7e4e7e,73291,2024626a6e7e4e7e
1,572,http://media.breitbart.com/media/2015/01/Planned-Parenthood-signs-afp.jpg,331820732,19334,GAO Confirms: Planned Parenthood and Other Groups Use Taxpayer Funds to Promote Abortions - Breitbart,http://www.breitbart.com/big-government/2015/03/25/gao-confirms-planned-parenthood-and-other-groups-use-taxpayer-funds-to-promote-abortions/,Breitbart,http://www.breitbart.com,2014-02-07 17:54:20,1,6867,[3690],FALSE,c6c84c7a324c6caa,71418,c6c84c7a324c6caa
1,571,https://i.guim.co.uk/img/media/6d7b217e4327c0ac0a3aa51120797768e084a1fe/329_623_3228_1937/master/3228.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=10280808fae7f8281cf65cdaa4252fed,1297463664,623382,Revealed: women's fertility app is funded by anti-abortion campaigners,https://www.theguardian.com/world/2019/may/30/revealed-womens-fertility-app-is-funded-by-anti-abortion-campaigners,Guardian - United States,http://www.theguardian.com/us,2019-05-30 02:00:03.000000,1,6658,[],FALSE,88200d692361c4ce,57444,88200d692361c4ce
1,570,https://img.huffingtonpost.com/asset/5cc6212b240000130a52453a.jpeg?cache=0m6sab9snz&ops=1910_1000,1268730637,6932,Trump Pushes More Dangerous Abortion Lies At Wisconsin Rally,https://www.huffpost.com/entry/donald-trump-abortion-lies-wisconsin-rally_n_5cc61e06e4b04eb7ff9780b5,Taking the Initiative: Carl Pope's Blog - Sierra Club,http://www.sierraclub.org/carlpope/,2019-04-28 19:03:32.000000,1,5949,[3689],FALSE,2b2f6c36a6a33c3a,224741,2b2f6c36a6a33c3a
